CrashID,CrashAlcoh,CrashDay,CrashGrp,CrashHour,CrashLoc,CrashMonth,CrashSevr,CrashType,CrashYear,City,County,HitRun
101931441,No,Saturday,Bicyclist Failed to Yield - Midblock,13,Non-Intersection,January,C: Possible Injury,Bicyclist Ride Out - Residential Driveway,2007,Durham,Durham,No
101932125,Yes,Saturday,Motorist Failed to Yield - Midblock,13,Non-Intersection,January,B: Suspected Minor Injury,Motorist Drive Out - Commercial Driveway / Alley,2007,Gastonia,Gaston,No
101932468,Yes,Monday,Motorist Overtaking Bicyclist,19,Non-Intersection,January,B: Suspected Minor Injury,Motorist Overtaking - Undetected Bicyclist,2007,None - Rural Crash,Carteret,No
101932481,No,Monday,Head-On,15,Non-Intersection,January,C: Possible Injury,Head-On - Bicyclist,2007,Winston-Salem,Forsyth,No
101933243,No,Friday,Motorist Failed to Yield - Midblock,17,Non-Intersection,January,B: Suspected Minor Injury,Motorist Drive Out - Commercial Driveway / Alley,2007,Burlington,Alamance,No
101934014,No,Saturday,Motorist Left Turn / Merge,11,Intersection,January,B: Suspected Minor Injury,Motorist Left Turn - Opposite Direction,2007,Greensboro,Guilford,No
101934242,No,Tuesday,Motorist Overtaking Bicyclist,17,Non-Intersection,January,B: Suspected Minor Injury,Motorist Overtaking - Bicyclist Swerved,2007,None - Rural Crash,Lincoln,No
101934282,Yes,Tuesday,Head-On,17,Non-Intersection,January,C: Possible Injury,Head-On - Bicyclist,2007,None - Rural Crash,Iredell,Yes
101934837,No,Tuesday,Motorist Left Turn / Merge,16,Non-Intersection,January,A: Suspected Serious Injury,Motorist Left Turn - Opposite Direction,2007,Lewisville,Forsyth,No
101934858,No,Tuesday,Motorist Overtaking Bicyclist,8,Non-Intersection,January,C: Possible Injury,Motorist Overtaking - Misjudged Space,2007,None - Rural Crash,Orange,Yes
101935110,Yes,Tuesday,Motorist Overtaking Bicyclist,8,Non-Intersection,January,K: Killed,Motorist Overtaking - Other / Unknown,2007,Charlotte,Mecklenburg,No
101936110,No,Tuesday,Crossing Paths - Other Circumstances,23,Intersection-Related,January,C: Possible Injury,Crossing Paths - Intersection - Other / Unknown,2007,Greenville,Pitt,No
101937130,No,Thursday,Bicyclist Failed to Yield - Signalized Intersection,11,Intersection,January,C: Possible Injury,Bicyclist Ride Out - Signalized  Intersection,2007,Charlotte,Mecklenburg,Yes
101937241,No,Friday,Bicyclist Failed to Yield - Midblock,19,Non-Intersection,January,A: Suspected Serious Injury,Bicyclist Ride Out - Commercial Driveway / Alley,2007,Winston-Salem,Forsyth,Yes
101937416,No,Saturday,Bicyclist Failed to Yield - Midblock,10,Non-Intersection,January,B: Suspected Minor Injury,Bicyclist Ride Out - Commercial Driveway / Alley,2007,Wilmington,New Hanover,No
101937644,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16,Intersection,January,O: No Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Farmville,Pitt,No
101938218,No,Monday,Bicyclist Failed to Yield - Midblock,16,Non-Intersection,January,B: Suspected Minor Injury,Bicyclist Ride Out - Residential Driveway,2007,Fayetteville,Cumberland,No
101938786,No,Friday,Loss of Control / Turning Error,19,Intersection,January,B: Suspected Minor Injury,Motorist Lost Control - Other / Unknown,2007,Charlotte,Mecklenburg,No
101939056,No,Friday,Bicyclist Failed to Yield - Signalized Intersection,18,Intersection-Related,March,B: Suspected Minor Injury,Bicyclist Ride Out - Signalized  Intersection,2007,Durham,Durham,No
101939071,No,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,20,Intersection,March,B: Suspected Minor Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,Durham,Durham,Yes
101939090,No,Monday,Motorist Right Turn / Merge,17,Non-Intersection,January,B: Suspected Minor Injury,Motorist Right Turn - Same Direction,2007,Charlotte,Mecklenburg,Yes
101940846,No,Tuesday,Motorist Overtaking Bicyclist,18,Non-Intersection,January,C: Possible Injury,Motorist Overtaking - Undetected Bicyclist,2007,None - Rural Crash,Pitt,No
101940857,No,Friday,Bicyclist Failed to Yield - Sign-Controlled Intersection,15,Intersection,January,B: Suspected Minor Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,None - Rural Crash,Pitt,No
101941069,No,Friday,Parallel Paths - Other Circumstances,12,Non-Intersection,January,K: Killed,Parallel Paths - Other / Unknown,2007,None - Rural Crash,Cleveland,No
101941148,No,Monday,Motorist Overtaking Bicyclist,23,Non-Intersection,March,B: Suspected Minor Injury,Motorist Overtaking - Bicyclist Swerved,2007,Asheville,Buncombe,No
101941442,No,Friday,Motorist Failed to Yield - Midblock,13,Non-Intersection,January,C: Possible Injury,Motorist Drive Out - Commercial Driveway / Alley,2007,Jacksonville,Onslow,No
101941786,No,Friday,Loss of Control / Turning Error,11,Intersection-Related,January,O: No Injury,Bicyclist Turning Error - Right Turn,2007,Charlotte,Mecklenburg,No
101942732,No,Sunday,Bicyclist Left Turn / Merge,18,Non-Intersection,January,B: Suspected Minor Injury,Bicyclist Left Turn - Same Direction,2007,None - Rural Crash,Robeson,No
101943002,No,Sunday,Bicyclist Failed to Yield - Signalized Intersection,15,Intersection,January,B: Suspected Minor Injury,Bicyclist Ride Through - Signalized Intersection,2007,Lexington,Davidson,No
101944217,No,Friday,Bicyclist Left Turn / Merge,15,Intersection,March,C: Possible Injury,Bicyclist Left Turn - Same Direction,2007,Durham,Durham,No
101944233,Yes,Friday,Loss of Control / Turning Error,23,Intersection,March,C: Possible Injury,Bicyclist Lost Control - Alcohol / Drug Impairment,2007,Durham,Durham,No
101944338,No,Monday,Loss of Control / Turning Error,12,Intersection,January,O: No Injury,Bicyclist Turning Error - Left Turn,2007,Charlotte,Mecklenburg,Yes
101944564,No,Wednesday,Motorist Overtaking Bicyclist,11,Non-Intersection,January,B: Suspected Minor Injury,Motorist Overtaking - Other / Unknown,2007,None - Rural Crash,New Hanover,Yes
101944739,No,Wednesday,Head-On,18,Non-Intersection,January,O: No Injury,Head-On - Bicyclist,2007,Raleigh,Wake,No
101945121,No,Wednesday,Motorist Overtaking Bicyclist,18,Non-Intersection,January,B: Suspected Minor Injury,Motorist Overtaking - Other / Unknown,2007,None - Rural Crash,Carteret,Yes
101945860,No,Monday,Motorist Overtaking Bicyclist,20,Non-Intersection,April,A: Suspected Serious Injury,Motorist Overtaking - Undetected Bicyclist,2007,Durham,Durham,No
101946576,No,Saturday,Motorist Overtaking Bicyclist,0,Intersection,January,C: Possible Injury,Motorist Overtaking - Undetected Bicyclist,2007,Kinston,Lenoir,Yes
101946700,No,Saturday,Motorist Left Turn / Merge,13,Intersection,January,C: Possible Injury,Motorist Left Turn - Opposite Direction,2007,Raleigh,Wake,No
101947174,No,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,19,Intersection,April,C: Possible Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Durham,Durham,No
101947678,No,Monday,Motorist Overtaking Bicyclist,15,Non-Intersection,January,C: Possible Injury,Motorist Overtaking - Other / Unknown,2007,None - Rural Crash,Jones,No
101947877,No,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,14,Intersection,January,C: Possible Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,Washington,Beaufort,No
101947973,No,Thursday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18,Intersection,April,A: Suspected Serious Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Eden,Rockingham,No
101949052,No,Wednesday,Crossing Paths - Other Circumstances,14,Intersection,January,B: Suspected Minor Injury,Crossing Paths - Intersection - Other / Unknown,2007,Fayetteville,Cumberland,Yes
101952840,No,Sunday,Bicyclist Failed to Yield - Midblock,13,Non-Intersection,February,A: Suspected Serious Injury,Bicyclist Ride Out - Commercial Driveway / Alley,2007,None - Rural Crash,Davidson,No
101953229,No,Saturday,Motorist Right Turn / Merge,19,Intersection,April,C: Possible Injury,Motorist Right Turn - Same Direction,2007,Durham,Durham,Yes
101954597,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16,Intersection,February,B: Suspected Minor Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,Morganton,Burke,No
101954647,No,Wednesday,Motorist Right Turn / Merge,7,Non-Intersection,February,O: No Injury,Motorist Right Turn - Same Direction,2007,Havelock,Craven,No
101954722,No,Wednesday,Bicyclist Failed to Yield - Midblock,15,Non-Intersection,February,C: Possible Injury,Bicyclist Ride Out - Commercial Driveway / Alley,2007,Gastonia,Gaston,No
101956574,No,Friday,Non-Roadway,0,Non-Roadway,February,B: Suspected Minor Injury,Non-Roadway,2007,None - Rural Crash,Sampson,No
101956609,No,Friday,Motorist Right Turn / Merge,15,Non-Intersection,February,C: Possible Injury,Motorist Right Turn - Same Direction,2007,Raleigh,Wake,No
101958799,Yes,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,19,Intersection,February,B: Suspected Minor Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,Monroe,Union,No
101958811,No,Monday,Motorist Failed to Yield - Signalized Intersection,17,Intersection,February,C: Possible Injury,Motorist Drive Out - Right Turn on Red,2007,Raleigh,Wake,Yes
101958996,No,Sunday,Crossing Paths - Other Circumstances,16,Intersection,April,C: Possible Injury,Crossing Paths - Intersection - Other / Unknown,2007,Cary,Wake,No
101959699,No,Tuesday,Motorist Left Turn / Merge,22,Intersection,February,B: Suspected Minor Injury,Motorist Left Turn - Opposite Direction,2007,Wilson,Wilson,No
101960382,No,Wednesday,Other / Unusual Circumstances,17,Non-Intersection,February,C: Possible Injury,Motorist Intentionally Caused,2007,None - Rural Crash,Wake,Yes
101961795,Yes,Friday,Motorist Overtaking Bicyclist,18,Non-Intersection,February,C: Possible Injury,Motorist Overtaking - Other / Unknown,2007,None - Rural Crash,Robeson,No
101962853,No,Friday,Bicyclist Failed to Yield - Signalized Intersection,7,Intersection,April,O: No Injury,Bicyclist Failed to Clear - Trapped,2007,Jefferson,Ashe,No
101963271,No,Sunday,Motorist Failed to Yield - Sign-Controlled Intersection,18,Intersection,February,A: Suspected Serious Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,Charlotte,Mecklenburg,No
101964668,No,Tuesday,Motorist Overtaking Bicyclist,7,Non-Intersection,February,B: Suspected Minor Injury,Motorist Overtaking - Other / Unknown,2007,None - Rural Crash,New Hanover,No
101964874,No,Tuesday,Motorist Left Turn / Merge,7,Intersection,February,A: Suspected Serious Injury,Motorist Left Turn - Opposite Direction,2007,Charlotte,Mecklenburg,No
101965439,No,Tuesday,Motorist Left Turn / Merge,14,Intersection,May,B: Suspected Minor Injury,Motorist Left Turn - Opposite Direction,2007,Cary,Wake,No
101965799,No,Friday,Bicyclist Failed to Yield - Midblock,17,Non-Intersection,April,B: Suspected Minor Injury,Multiple Threat - Midblock,2007,Cary,Wake,No
101965809,Yes,Monday,Head-On,16,Non-Intersection,January,B: Suspected Minor Injury,Head-On - Motorist,2007,None - Rural Crash,Mcdowell,No
101965963,No,Tuesday,Crossing Paths - Other Circumstances,19,Intersection,February,B: Suspected Minor Injury,Crossing Paths - Intersection - Other / Unknown,2007,Raleigh,Wake,No
101967081,No,Thursday,Bicyclist Failed to Yield - Sign-Controlled Intersection,14,Intersection,February,B: Suspected Minor Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Rocky Mount,Nash,No
101967253,No,Thursday,Bicyclist Left Turn / Merge,18,Intersection,February,O: No Injury,Bicyclist Left Turn - Opposite Direction,2007,Raleigh,Wake,No
101968099,No,Friday,Parallel Paths - Other Circumstances,17,Non-Intersection,January,B: Suspected Minor Injury,Parallel Paths - Other / Unknown,2007,Burlington,Alamance,No
101968160,No,Tuesday,Bicyclist Right Turn / Merge,19,Non-Intersection,March,B: Suspected Minor Injury,Bicyclist Right Turn - Same Direction,2007,None - Rural Crash,Columbus,No
101968833,No,Friday,Parallel Paths - Other Circumstances,14,Intersection-Related,February,C: Possible Injury,Bicyclist Ride Out - Parallel Path,2007,Washington,Beaufort,No
101968854,No,Friday,Bicyclist Left Turn / Merge,23,Non-Intersection,February,B: Suspected Minor Injury,Bicyclist Left Turn - Same Direction,2007,Asheville,Buncombe,No
101969102,No,Saturday,Crossing Paths - Other Circumstances,16,Intersection-Related,February,C: Possible Injury,Crossing Paths - Intersection - Other / Unknown,2007,Fayetteville,Cumberland,No
101969459,No,Saturday,Bicyclist Failed to Yield - Sign-Controlled Intersection,10,Intersection,February,B: Suspected Minor Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,None - Rural Crash,Wilson,No
101970989,No,Tuesday,Motorist Failed to Yield - Midblock,13,Non-Intersection,February,C: Possible Injury,Motorist Drive Out - Commercial Driveway / Alley,2007,Charlotte,Mecklenburg,No
101971084,No,Wednesday,Bicyclist Left Turn / Merge,18,Intersection-Related,February,C: Possible Injury,Bicyclist Left Turn - Same Direction,2007,Kannapolis,Cabarrus,Yes
101971311,No,Wednesday,Bicyclist Failed to Yield - Signalized Intersection,14,Intersection,February,C: Possible Injury,Bicyclist Ride Through - Signalized Intersection,2007,Fayetteville,Cumberland,No
101971899,No,Saturday,Bicyclist Left Turn / Merge,16,Intersection-Related,February,C: Possible Injury,Bicyclist Left Turn - Opposite Direction,2007,Greenville,Pitt,No
101971999,No,Friday,Bicyclist Failed to Yield - Midblock,18,Non-Intersection,February,C: Possible Injury,Bicyclist Ride Out - Commercial Driveway / Alley,2007,Fayetteville,Cumberland,Yes
101972582,No,Tuesday,Motorist Overtaking Bicyclist,17,Intersection,February,C: Possible Injury,Motorist Overtaking - Undetected Bicyclist,2007,None - Rural Crash,Davie,No
101972739,No,Tuesday,Motorist Failed to Yield - Signalized Intersection,7,Intersection,February,B: Suspected Minor Injury,Motorist Drive Through - Signalized Intersection,2007,Wilson,Wilson,No
101973839,No,Thursday,Motorist Right Turn / Merge,16,Non-Intersection,March,A: Suspected Serious Injury,Motorist Right Turn - Same Direction,2007,Charlotte,Mecklenburg,No
101973934,No,Thursday,Motorist Left Turn / Merge,9,Non-Intersection,March,B: Suspected Minor Injury,Motorist Left Turn - Opposite Direction,2007,Charlotte,Mecklenburg,No
101975141,No,Saturday,Head-On,19,Non-Intersection,March,O: No Injury,Head-On - Bicyclist,2007,None - Rural Crash,Jones,No
101977025,No,Monday,Bicyclist Left Turn / Merge,18,Non-Intersection,March,C: Possible Injury,Bicyclist Left Turn - Same Direction,2007,Winston-Salem,Forsyth,No
101977426,No,Tuesday,Motorist Overtaking Bicyclist,14,Non-Intersection,March,A: Suspected Serious Injury,Motorist Overtaking - Other / Unknown,2007,None - Rural Crash,Davidson,No
101977718,No,Thursday,Bicyclist Failed to Yield - Signalized Intersection,19,Intersection,May,B: Suspected Minor Injury,Bicyclist Ride Through - Signalized Intersection,2007,Durham,Durham,No
101978021,No,Tuesday,Head-On,7,Intersection,March,B: Suspected Minor Injury,Head-On - Motorist,2007,Charlotte,Mecklenburg,No
101978304,Yes,Thursday,Loss of Control / Turning Error,15,Intersection,May,B: Suspected Minor Injury,Bicyclist Lost Control - Alcohol / Drug Impairment,2007,Beaufort,Carteret,No
101978323,No,Wednesday,Motorist Overtaking Bicyclist,18,Non-Intersection,March,B: Suspected Minor Injury,Motorist Overtaking - Undetected Bicyclist,2007,None - Rural Crash,Mcdowell,No
101978633,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,17,Intersection,March,B: Suspected Minor Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Charlotte,Mecklenburg,No
101979889,No,Friday,Bicyclist Failed to Yield - Signalized Intersection,12,Intersection,March,B: Suspected Minor Injury,Bicyclist Failed to Clear - Trapped,2007,Charlotte,Mecklenburg,No
101979899,No,Friday,Motorist Failed to Yield - Midblock,17,Non-Intersection,March,C: Possible Injury,Motorist Drive Out - Commercial Driveway / Alley,2007,Charlotte,Mecklenburg,No
101980111,No,Saturday,Motorist Overtaking Bicyclist,22,Non-Intersection,March,C: Possible Injury,Motorist Overtaking - Undetected Bicyclist,2007,Durham,Durham,Yes
101980268,No,Saturday,Bicyclist Right Turn / Merge,13,Non-Intersection,March,C: Possible Injury,Bicyclist Right Turn - Same Direction,2007,None - Rural Crash,Robeson,No
101980822,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,13,Intersection,March,B: Suspected Minor Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Albemarle,Stanly,No
101981573,Yes,Sunday,Motorist Failed to Yield - Sign-Controlled Intersection,19,Intersection,March,B: Suspected Minor Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,None - Rural Crash,Duplin,No
101982316,No,Tuesday,Motorist Overtaking Bicyclist,0,Intersection,March,B: Suspected Minor Injury,Motorist Overtaking - Other / Unknown,2007,Charlotte,Mecklenburg,Yes
101982797,No,Tuesday,Bicyclist Left Turn / Merge,18,Intersection,March,B: Suspected Minor Injury,Bicyclist Left Turn - Opposite Direction,2007,Goldsboro,Wayne,No
101982901,No,Tuesday,Motorist Failed to Yield - Signalized Intersection,10,Intersection,May,C: Possible Injury,Motorist Drive Out - Right Turn on Red,2007,Durham,Durham,No
101983126,No,Wednesday,Bicyclist Left Turn / Merge,16,Intersection,March,C: Possible Injury,Bicyclist Left Turn - Same Direction,2007,Lexington,Davidson,No
101983135,No,Wednesday,Motorist Left Turn / Merge,14,Intersection,March,A: Suspected Serious Injury,Motorist Left Turn - Opposite Direction,2007,Durham,Durham,No
101983173,No,Wednesday,Motorist Failed to Yield - Midblock,15,Non-Intersection,March,B: Suspected Minor Injury,Motorist Drive Out - Commercial Driveway / Alley,2007,None - Rural Crash,Guilford,No
101983188,No,Wednesday,Motorist Overtaking Bicyclist,11,Non-Intersection,March,B: Suspected Minor Injury,Motorist Overtaking - Misjudged Space,2007,None - Rural Crash,Halifax,No
101983397,No,Wednesday,Bicyclist Failed to Yield - Midblock,19,Non-Intersection,March,B: Suspected Minor Injury,Bicyclist Ride Out - Midblock - Unknown,2007,Raleigh,Wake,No
101983430,No,Wednesday,Motorist Overtaking Bicyclist,19,Non-Intersection,May,B: Suspected Minor Injury,Motorist Overtaking - Misjudged Space,2007,Durham,Durham,No
101983899,Yes,Friday,Loss of Control / Turning Error,11,Intersection,March,C: Possible Injury,Bicyclist Turning Error - Left Turn,2007,Goldsboro,Wayne,No
101984470,No,Thursday,Motorist Failed to Yield - Midblock,7,Non-Intersection,March,B: Suspected Minor Injury,Motorist Drive Out - Residential Driveway,2007,Wilmington,New Hanover,No
101984707,No,Tuesday,Loss of Control / Turning Error,18,Intersection-Related,May,C: Possible Injury,Bicyclist Turning Error - Other,2007,Durham,Durham,No
101984768,Yes,Friday,Bicyclist Failed to Yield - Midblock,14,Non-Intersection,March,A: Suspected Serious Injury,Bicyclist Ride Out - Commercial Driveway / Alley,2007,Lincolnton,Lincoln,No
101985271,No,Friday,Bicyclist Left Turn / Merge,8,Intersection,March,C: Possible Injury,Bicyclist Left Turn - Same Direction,2007,None - Rural Crash,Person,No
101985551,No,Friday,Motorist Failed to Yield - Signalized Intersection,15,Intersection,May,B: Suspected Minor Injury,Motorist Drive Out - Right Turn on Red,2007,Cary,Wake,No
101985882,No,Friday,Motorist Failed to Yield - Signalized Intersection,22,Intersection,June,O: No Injury,Motorist Drive Out - Right Turn on Red,2007,Charlotte,Mecklenburg,No
101986119,No,Monday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18,Intersection,March,A: Suspected Serious Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,None - Rural Crash,Johnston,No
101986152,No,Sunday,Motorist Overtaking Bicyclist,13,Non-Intersection,March,K: Killed,Motorist Overtaking - Misjudged Space,2007,None - Rural Crash,Madison,No
101987104,No,Saturday,Crossing Paths - Other Circumstances,12,Intersection,March,O: No Injury,Sign-Controlled Intersection - Other / Unknown,2007,Rocky Mount,Nash,No
101987406,No,Saturday,Motorist Failed to Yield - Sign-Controlled Intersection,11,Intersection,March,C: Possible Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,Charlotte,Mecklenburg,No
101987765,No,Sunday,Motorist Failed to Yield - Signalized Intersection,12,Intersection,March,O: No Injury,Motorist Drive Out - Right Turn on Red,2007,Raleigh,Wake,No
101988107,No,Monday,Motorist Overtaking Bicyclist,11,Non-Intersection,March,B: Suspected Minor Injury,Motorist Overtaking - Misjudged Space,2007,Burlington,Alamance,No
101988419,Yes,Monday,Motorist Failed to Yield - Sign-Controlled Intersection,19,Intersection,March,C: Possible Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,Lumberton,Robeson,Yes
101988604,No,Monday,Motorist Left Turn / Merge,14,Intersection,March,C: Possible Injury,Motorist Left Turn - Same Direction,2007,Greensboro,Guilford,No
101989112,No,Wednesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,17,Intersection,June,C: Possible Injury,Bicyclist Ride Out - Sign-Controlled Intersection,2007,Kinston,Lenoir,No
101989319,No,Tuesday,Motorist Left Turn / Merge,19,Intersection,March,B: Suspected Minor Injury,Motorist Left Turn - Same Direction,2007,Raleigh,Wake,No
101989460,No,Tuesday,Bicyclist Failed to Yield - Sign-Controlled Intersection,16,Intersection,March,B: Suspected Minor Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Matthews,Mecklenburg,No
101989826,No,Wednesday,Motorist Overtaking Bicyclist,23,Non-Intersection,March,C: Possible Injury,Motorist Overtaking - Other / Unknown,2007,Raleigh,Wake,Yes
101990368,No,Thursday,Motorist Overtaking Bicyclist,0,Non-Intersection,March,K: Killed,Motorist Overtaking - Undetected Bicyclist,2007,Jacksonville,Onslow,No
101990781,No,Friday,Head-On,16,Non-Intersection,March,K: Killed,Head-On - Bicyclist,2007,None - Rural Crash,Burke,No
101991167,No,Thursday,Motorist Failed to Yield - Sign-Controlled Intersection,11,Intersection,June,C: Possible Injury,Motorist Drive Out - Sign-Controlled Intersection,2007,Cary,Wake,No
101991192,No,Friday,Head-On,16,Non-Intersection,June,B: Suspected Minor Injury,Head-On - Bicyclist,2007,Charlotte,Mecklenburg,No
101992788,No,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18,Intersection,March,B: Suspected Minor Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Gastonia,Gaston,Yes
101992851,Yes,Sunday,Bicyclist Failed to Yield - Sign-Controlled Intersection,18,Intersection,March,A: Suspected Serious Injury,Bicyclist Ride Through - Sign-Controlled Intersection,2007,Statesville,Iredell,No
101993071,No,Sunday,Motorist Right Turn / Merge,16,Intersection,March,B: Suspected Minor Injury,Motorist Right Turn - Same Direction,2007,Charlotte,Mecklenburg,No
101993104,No,Sunday,Motorist Right Turn / Merge,12,Intersection,March,O: No Injury,Motorist Right Turn - Same Direction,2007,Carolina Beach,New Hanover,Yes
101993234,No,Thursday,Bicyclist Failed to Yield - Midblock,17,Non-Intersection,February,C: Possible Injury,Bicyclist Ride Out - Midblock - Unknown,2007,Wadesboro,Anson,No
101993401,No,Sunday,Head-On,15,Non-Intersection,March,B: Suspected Minor Injury,Head-On - Bicyclist,2007,Wilmington,New Hanover,No
101993467,No,Monday,Bicyclist Failed to Yield - Midblock,16,Non-Intersection,March,C: Possible Injury,Bicyclist Ride Out - Midblock - Unknown,2007,Gastonia,Gaston,No
101993994,No,Tuesday,Motorist Overtaking Bicyclist,18,Non-Intersection,March,B: Suspected Minor Injury,Motorist Overtaking - Bicyclist Swerved,2007,None - Rural Crash,Beaufort,Yes
101994176,No,Tuesday,Bicyclist Left Turn / Merge,12,Intersection-Related,March,B: Suspected Minor Injury,Bicyclist Left Turn - Same Direction,2007,None - Rural Crash,Durham,No
101994232,Yes,Sunday,Bicyclist Failed to Yield - Midblock,12,Non-Intersection,March,B: Suspected Minor Injury,Bicyclist Ride Out - Residential Driveway,2007,None - Rural Crash,Henderson,No
101994407,Yes,Tuesday,Bicyclist Left Turn / Merge,14,Non-Intersection,March,C: Possible Injury,Bicyclist Left Turn - Same Direction,2007,None - Rural Crash,Robeson,No
101995190,No,Thursday,Loss of Control / Turning Error,21,Non-Intersection,March,C: Possible Injury,Bicyclist Lost Control - Alcohol / Drug Impairment,2007,None - Rural Crash,Lenoir,Yes
101995583,No,Saturday,Bicyclist Failed to Yield - Midblock,15,Non-Intersection,March,C: Possible Injury,Bicyclist Ride Out - Midblock - Unknown,2007,Raleigh,Wake,No
101995914,No,Monday,Motorist Overtaking Bicyclist,20,Non-Intersection,March,C: Possible Injury,Motorist Overtaking - Undetected Bicyclist,2007,None - Rural Crash,Cumberland,No
