CrashID,BikeAge,BikeAgeGrp,BikeAlcDrg,BikeAlcFlg,BikeDir,BikeInjury,BikePos,BikeRace,BikeSex,DrvrAge,DrvrAgeGrp,DrvrAlcDrg,DrvrAlcFlg,DrvrInjury,DrvrRace,DrvrSex,DrvrVehTyp
101928988,31,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,17,0-19,.,No,O: No Injury,White,Female,Passenger Car
101930312,10,06-Oct,.,No,Not Applicable,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Female,66,60-69,.,No,O: No Injury,White,Female,Passenger Car
101930314,31,30-39,.,No,Facing Traffic,C: Possible Injury,Travel Lane,Black,Female,47,40-49,.,No,O: No Injury,White,Male,Pickup
101930856,10,06-Oct,.,No,Not Applicable,A: Suspected Serious Injury,Non-Roadway,White,Male,26,25-29,.,No,O: No Injury,White,Female,Passenger Car
101931057,49,40-49,.,Yes,With Traffic,C: Possible Injury,Other,Native American,Female,61,60-69,.,No,O: No Injury,Native American,Male,Pickup
101931441,6,06-Oct,.,No,Not Applicable,C: Possible Injury,Driveway / Alley,Black,Female,66,60-69,.,No,O: No Injury,Black,Male,Pickup
101932125,31,30-39,.,Yes,Facing Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Hispanic,Male,29,25-29,.,No,O: No Injury,White,Male,Pickup
101932468,30,30-39,.,Yes,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,19,0-19,.,No,O: No Injury,White,Female,Passenger Car
101932481,54,50-59,.,No,Facing Traffic,C: Possible Injury,Travel Lane,Black,Male,46,40-49,.,No,O: No Injury,White,Male,Passenger Car
101933243,40,40-49,.,No,Facing Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,67,60-69,.,No,O: No Injury,White,Male,Passenger Car
101934014,33,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Female,70+,70+,.,No,O: No Injury,White,Female,Passenger Car
101934242,8,06-Oct,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,25,25-29,.,No,O: No Injury,Black,Female,Passenger Car
101934282,13,15-Nov,.,Yes,Facing Traffic,C: Possible Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101934837,60,60-69,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,White,Female,46,40-49,.,No,O: No Injury,White,Female,Pickup
101934858,21,20-24,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101935110,42,40-49,.,No,With Traffic,K: Killed,Bike Lane / Paved Shoulder,White,Male,27,25-29,.,Yes,O: No Injury,White,Female,Passenger Car
101936110,51,50-59,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,34,30-39,.,No,O: No Injury,Black,Male,Passenger Car
101937130,50,50-59,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101937241,12,15-Nov,.,No,Not Applicable,A: Suspected Serious Injury,Driveway / Alley,Black,Male,28,25-29,.,No,O: No Injury,Hispanic,Male,Unknown
101937416,18,16-19,.,No,Not Applicable,B: Suspected Minor Injury,Driveway / Alley,Hispanic,Male,23,20-24,.,No,O: No Injury,Black,Male,Passenger Car
101937644,10,06-Oct,.,No,With Traffic,Unknown Injury,Travel Lane,Black,Male,52,50-59,.,No,O: No Injury,White,Female,Passenger Car
101938218,14,15-Nov,.,No,Not Applicable,B: Suspected Minor Injury,Driveway / Alley,Black,Female,35,30-39,.,No,O: No Injury,White,Female,Passenger Car
101938786,17,16-19,.,No,Unknown,B: Suspected Minor Injury,Travel Lane,White,Male,33,30-39,.,No,O: No Injury,White,Female,Sport Utility
101939056,11,15-Nov,.,No,Not Applicable,B: Suspected Minor Injury,Non-Roadway,Black,Male,24,20-24,.,No,O: No Injury,Black,Male,Passenger Car
101939071,28,25-29,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Passenger Car
101939090,47,40-49,.,No,With Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101940846,49,40-49,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,46,40-49,.,No,O: No Injury,White,Male,Passenger Car
101940857,22,20-24,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,33,30-39,.,No,O: No Injury,Black,Female,Van
101941069,46,40-49,.,No,With Traffic,K: Killed,Bike Lane / Paved Shoulder,White,Male,35,30-39,.,No,O: No Injury,White,Male,Tractor/Semi-Trailer
101941148,21,20-24,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Female,39,30-39,.,No,O: No Injury,Black,Male,Sport Utility
101941442,22,20-24,.,No,Facing Traffic,C: Possible Injury,Travel Lane,White,Male,37,30-39,.,No,O: No Injury,White,Male,Pickup
101941786,32,30-39,.,No,With Traffic,O: No Injury,Travel Lane,Black,Male,44,40-49,.,No,O: No Injury,White,Male,Passenger Car
101942732,36,30-39,.,No,With Traffic,B: Suspected Minor Injury,Other,Native American,Male,40,40-49,.,No,O: No Injury,Native American,Male,Pickup
101943002,60,60-69,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,58,50-59,.,No,O: No Injury,White,Female,Passenger Car
101944217,36,30-39,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,16,0-19,.,No,O: No Injury,White,Male,Passenger Car
101944233,31,30-39,.,Yes,With Traffic,C: Possible Injury,Travel Lane,White,Male,999,Unknown,.,Missing,O: No Injury,Black,Male,Passenger Car
101944338,6,06-Oct,.,No,Facing Traffic,O: No Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101944564,36,30-39,.,No,With Traffic,B: Suspected Minor Injury,Bike Lane / Paved Shoulder,White,Male,999,Unknown,.,No,Unknown Injury,Unknown/Missing,Unknown,Unknown
101944739,999,Unknown,.,Missing,Facing Traffic,Unknown Injury,Travel Lane,Unknown/Missing,Unknown,49,40-49,.,No,O: No Injury,White,Female,Passenger Car
101945121,52,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Female,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Truck/Trailer
101945860,52,50-59,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,White,Male,20,20-24,.,No,O: No Injury,White,Female,Passenger Car
101946576,16,16-19,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101946700,46,40-49,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,53,50-59,.,No,O: No Injury,Asian,Male,Passenger Car
101947174,18,16-19,.,No,Unknown,C: Possible Injury,Travel Lane,Black,Female,40,40-49,.,No,O: No Injury,Black,Male,Passenger Car
101947678,38,30-39,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,38,30-39,.,No,O: No Injury,White,Male,Pickup
101947877,23,20-24,.,No,Unknown,C: Possible Injury,Travel Lane,Black,Male,61,60-69,.,No,O: No Injury,White,Male,Pickup
101947973,11,15-Nov,.,No,Unknown,A: Suspected Serious Injury,Travel Lane,Black,Female,45,40-49,.,No,O: No Injury,White,Female,Passenger Car
101949052,40,40-49,.,No,Facing Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Hispanic,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101952840,15,15-Nov,.,No,Not Applicable,A: Suspected Serious Injury,Driveway / Alley,White,Male,17,0-19,.,No,C: Possible Injury,White,Female,Passenger Car
101953229,7,06-Oct,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Passenger Car
101954597,6,06-Oct,.,No,Facing Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,17,0-19,.,No,O: No Injury,White,Female,Passenger Car
101954647,13,15-Nov,.,No,With Traffic,Unknown Injury,Sidewalk / Crosswalk / Driveway Crossing,Unknown/Missing,Male,17,0-19,.,No,O: No Injury,White,Female,Pickup
101954722,5,0-5,.,No,Not Applicable,C: Possible Injury,Non-Roadway,Black,Female,43,40-49,.,No,O: No Injury,Black,Male,Sport Utility
101956574,7,06-Oct,.,No,Unknown,B: Suspected Minor Injury,Non-Roadway,Black,Female,51,50-59,.,No,O: No Injury,Black,Male,Sport Utility
101956609,15,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,45,40-49,.,No,O: No Injury,White,Male,Passenger Car
101958799,20,20-24,.,Yes,Unknown,B: Suspected Minor Injury,Travel Lane,Hispanic,Male,32,30-39,.,No,O: No Injury,White,Female,Passenger Car
101958811,16,16-19,.,No,Facing Traffic,C: Possible Injury,Unknown,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Sport Utility
101958996,11,15-Nov,.,No,With Traffic,C: Possible Injury,Unknown,White,Female,20,20-24,.,No,O: No Injury,White,Male,Passenger Car
101959699,20,20-24,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,36,30-39,.,No,O: No Injury,White,Female,Passenger Car
101960382,45,40-49,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,999,Unknown,.,No,Unknown Injury,Unknown/Missing,Unknown,Passenger Car
101961795,34,30-39,.,Yes,With Traffic,C: Possible Injury,Travel Lane,Native American,Male,33,30-39,.,No,O: No Injury,Native American,Female,Passenger Car
101962853,38,30-39,.,No,With Traffic,O: No Injury,Travel Lane,White,Male,64,60-69,.,No,O: No Injury,White,Female,Passenger Car
101963271,30,30-39,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,Black,Male,64,60-69,.,No,O: No Injury,White,Male,Passenger Car
101964668,19,16-19,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,36,30-39,.,No,O: No Injury,White,Female,"Light Truck (Mini-Van, Panel)"
101964874,38,30-39,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,White,Male,53,50-59,.,No,O: No Injury,Black,Female,Passenger Car
101965439,48,40-49,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,37,30-39,.,No,O: No Injury,Black,Male,"Single Unit Truck (2-Axle, 6-Tire)"
101965799,17,16-19,.,No,Not Applicable,B: Suspected Minor Injury,Driveway / Alley,Black,Male,49,40-49,.,No,O: No Injury,White,Male,Pickup
101965809,53,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,28,25-29,.,Yes,O: No Injury,White,Male,"Single Unit Truck (2-Axle, 6-Tire)"
101965963,12,15-Nov,.,No,Facing Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,58,50-59,.,No,O: No Injury,White,Male,Sport Utility
101967081,17,16-19,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,50,50-59,.,No,O: No Injury,Black,Female,Passenger Car
101967253,42,40-49,.,No,With Traffic,O: No Injury,Travel Lane,White,Male,34,30-39,.,No,O: No Injury,White,Female,Passenger Car
101968099,20,20-24,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,66,60-69,.,No,O: No Injury,White,Male,Truck/Trailer
101968160,14,15-Nov,.,No,Facing Traffic,C: Possible Injury,Travel Lane,White,Male,30,30-39,.,No,B: Suspected Minor Injury,Black,Male,Tractor/Semi-Trailer
101968833,15,15-Nov,.,No,With Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,54,50-59,.,No,O: No Injury,White,Female,Passenger Car
101968854,34,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,24,20-24,.,No,O: No Injury,White,Female,Passenger Car
101969102,15,15-Nov,.,No,Not Applicable,C: Possible Injury,Unknown,Black,Male,34,30-39,.,No,O: No Injury,White,Male,Pickup
101969459,19,16-19,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,24,20-24,.,No,O: No Injury,Black,Male,Passenger Car
101970989,23,20-24,.,No,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,19,0-19,.,No,O: No Injury,White,Female,Sport Utility
101971084,15,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101971311,55,50-59,.,No,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,19,0-19,.,No,O: No Injury,Black,Female,Passenger Car
101971899,11,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,Native American,Male,36,30-39,.,No,O: No Injury,Black,Male,Passenger Car
101971999,46,40-49,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101972582,20,20-24,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,63,60-69,.,No,O: No Injury,White,Male,Pickup
101972739,53,50-59,.,No,With Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Female,61,60-69,.,No,C: Possible Injury,Black,Male,Pickup
101973839,61,60-69,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,Black,Male,64,60-69,.,No,O: No Injury,Black,Male,Passenger Car
101973934,54,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,64,60-69,.,No,O: No Injury,Black,Female,Passenger Car
101975141,46,40-49,.,No,Facing Traffic,O: No Injury,Travel Lane,Black,Male,43,40-49,.,No,O: No Injury,Black,Female,Sport Utility
101977025,15,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,34,30-39,.,No,O: No Injury,White,Male,Pickup
101977426,65,60-69,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,White,Male,19,0-19,.,No,O: No Injury,White,Female,Passenger Car
101977718,49,40-49,.,No,Facing Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,25,25-29,.,No,O: No Injury,White,Female,Passenger Car
101978021,37,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,27,25-29,.,No,O: No Injury,White,Female,Passenger Car
101978304,45,40-49,.,Yes,With Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,66,60-69,.,No,O: No Injury,White,Male,Pickup
101978323,56,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Hispanic,Male,56,50-59,.,No,O: No Injury,White,Female,Pickup
101978633,6,06-Oct,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,32,30-39,.,No,O: No Injury,Black,Female,Passenger Car
101979889,16,16-19,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,48,40-49,.,No,O: No Injury,Black,Male,Passenger Car
101979899,36,30-39,.,No,Facing Traffic,C: Possible Injury,Travel Lane,White,Female,55,50-59,.,No,O: No Injury,White,Female,Van
101980111,32,30-39,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101980268,5,0-5,.,No,Facing Traffic,C: Possible Injury,Travel Lane,Black,Male,24,20-24,.,No,O: No Injury,Black,Male,Passenger Car
101980822,6,06-Oct,.,No,Unknown,B: Suspected Minor Injury,Travel Lane,White,Male,55,50-59,.,No,O: No Injury,White,Male,Passenger Car
101981573,52,50-59,.,Yes,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,46,40-49,.,No,O: No Injury,White,Female,Van
101982316,34,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,38,30-39,.,No,O: No Injury,Black,Female,Passenger Car
101982797,23,20-24,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,18,0-19,.,No,O: No Injury,White,Female,Passenger Car
101982901,20,20-24,.,No,Facing Traffic,C: Possible Injury,Travel Lane,White,Male,23,20-24,.,No,O: No Injury,Black,Female,Passenger Car
101983126,12,15-Nov,.,No,With Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,49,40-49,.,No,O: No Injury,White,Female,Sport Utility
101983135,50,50-59,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,White,Female,54,50-59,.,No,O: No Injury,Black,Male,Passenger Car
101983173,44,40-49,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,67,60-69,.,No,O: No Injury,White,Male,"Single Unit Truck (2-Axle, 6-Tire)"
101983188,41,40-49,.,No,With Traffic,B: Suspected Minor Injury,Bike Lane / Paved Shoulder,Black,Male,57,50-59,.,No,O: No Injury,White,Male,Pickup
101983397,10,06-Oct,.,No,Not Applicable,B: Suspected Minor Injury,Non-Roadway,Black,Male,56,50-59,.,No,O: No Injury,White,Male,Passenger Car
101983430,41,40-49,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,41,40-49,.,No,O: No Injury,White,Female,Van
101983899,53,50-59,.,Yes,Facing Traffic,C: Possible Injury,Travel Lane,Black,Male,51,50-59,.,No,O: No Injury,White,Male,Passenger Car
101984470,8,06-Oct,.,No,With Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,56,50-59,.,No,O: No Injury,White,Female,Passenger Car
101984707,8,06-Oct,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,66,60-69,.,No,O: No Injury,Black,Male,Pickup
101984768,46,40-49,.,Yes,Not Applicable,A: Suspected Serious Injury,Non-Roadway,Black,Male,32,30-39,.,No,O: No Injury,Hispanic,Male,Passenger Car
101985271,18,16-19,.,No,With Traffic,C: Possible Injury,Bike Lane / Paved Shoulder,White,Male,70+,70+,.,No,O: No Injury,White,Male,Passenger Car
101985551,15,15-Nov,.,No,Unknown,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,22,20-24,.,No,O: No Injury,White,Female,Passenger Car
101985882,46,40-49,.,No,With Traffic,O: No Injury,Travel Lane,White,Male,29,25-29,.,No,O: No Injury,Black,Female,Passenger Car
101986119,7,06-Oct,.,No,Unknown,A: Suspected Serious Injury,Travel Lane,White,Female,36,30-39,.,No,O: No Injury,White,Female,Van
101986152,64,60-69,.,No,With Traffic,K: Killed,Travel Lane,White,Male,20,20-24,.,No,O: No Injury,White,Male,Pickup
101987104,70+,70+,.,No,Unknown,O: No Injury,Unknown,Black,Male,29,25-29,.,No,O: No Injury,White,Female,Passenger Car
101987406,35,30-39,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,42,40-49,.,No,O: No Injury,Black,Male,Passenger Car
101987765,65,60-69,.,No,Facing Traffic,O: No Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,41,40-49,.,No,O: No Injury,White,Female,Passenger Car
101988107,53,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Black,Male,70+,70+,.,No,O: No Injury,White,Male,Passenger Car
101988419,45,40-49,.,No,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,22,20-24,.,Yes,O: No Injury,White,Female,Passenger Car
101988604,20,20-24,.,No,With Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Passenger Car
101989112,12,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Female,27,25-29,.,No,O: No Injury,Black,Male,Passenger Car
101989319,13,15-Nov,.,No,Facing Traffic,B: Suspected Minor Injury,Unknown,Black,Female,56,50-59,.,No,O: No Injury,White,Male,Passenger Car
101989460,10,06-Oct,.,No,Unknown,B: Suspected Minor Injury,Travel Lane,White,Male,18,0-19,.,No,O: No Injury,White,Male,Passenger Car
101989826,28,25-29,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101990368,19,16-19,.,No,With Traffic,K: Killed,Travel Lane,White,Male,36,30-39,.,No,O: No Injury,White,Male,Pickup
101990781,16,16-19,.,No,With Traffic,K: Killed,Travel Lane,White,Male,50,50-59,.,No,O: No Injury,White,Male,Pickup
101991167,36,30-39,.,No,Facing Traffic,C: Possible Injury,Sidewalk / Crosswalk / Driveway Crossing,Hispanic,Male,49,40-49,.,No,O: No Injury,White,Female,Sport Utility
101991192,49,40-49,.,No,Facing Traffic,B: Suspected Minor Injury,Sidewalk / Crosswalk / Driveway Crossing,Black,Male,67,60-69,.,No,O: No Injury,Black,Female,Passenger Car
101992788,15,15-Nov,.,No,Unknown,B: Suspected Minor Injury,Travel Lane,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101992851,13,15-Nov,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,Black,Female,19,0-19,.,Yes,O: No Injury,Black,Female,Passenger Car
101993071,51,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,26,25-29,.,No,O: No Injury,White,Male,Passenger Car
101993104,61,60-69,.,No,With Traffic,O: No Injury,Travel Lane,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101993234,54,50-59,.,No,Not Applicable,C: Possible Injury,Non-Roadway,Black,Male,65,60-69,.,No,O: No Injury,Black,Male,Pickup
101993401,33,30-39,.,No,Facing Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,48,40-49,.,No,O: No Injury,White,Male,Sport Utility
101993467,6,06-Oct,.,No,Not Applicable,C: Possible Injury,Unknown,White,Male,26,25-29,.,No,O: No Injury,Black,Female,Passenger Car
101993994,14,15-Nov,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Female,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101994176,51,50-59,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,37,30-39,.,No,O: No Injury,Black,Male,Passenger Car
101994232,12,15-Nov,.,No,Not Applicable,B: Suspected Minor Injury,Driveway / Alley,White,Male,45,40-49,.,Yes,O: No Injury,White,Male,Pickup
101994407,62,60-69,.,Yes,With Traffic,C: Possible Injury,Travel Lane,Native American,Male,32,30-39,.,No,O: No Injury,Native American,Female,Passenger Car
101995190,17,16-19,.,No,Not Applicable,C: Possible Injury,Unknown,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101995583,13,15-Nov,.,No,Not Applicable,C: Possible Injury,Unknown,Black,Male,67,60-69,.,No,O: No Injury,Black,Male,Passenger Car
101995914,54,50-59,.,No,With Traffic,C: Possible Injury,Travel Lane,White,Male,70+,70+,.,No,O: No Injury,White,Male,Pickup
101996468,37,30-39,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,White,Male,33,30-39,.,No,O: No Injury,White,Female,Passenger Car
101996609,21,20-24,.,No,With Traffic,B: Suspected Minor Injury,Unknown,White,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Unknown
101997753,15,15-Nov,.,No,Facing Traffic,C: Possible Injury,Travel Lane,Black,Male,53,50-59,.,No,O: No Injury,White,Female,Passenger Car
101997791,46,40-49,.,Yes,Not Applicable,A: Suspected Serious Injury,Non-Roadway,Black,Male,23,20-24,.,No,O: No Injury,White,Female,Passenger Car
101997899,7,06-Oct,.,Yes,Not Applicable,C: Possible Injury,Non-Roadway,Black,Female,22,20-24,.,No,O: No Injury,Black,Female,Sport Utility
101997947,35,30-39,.,No,Facing Traffic,C: Possible Injury,Bike Lane / Paved Shoulder,White,Male,49,40-49,.,No,O: No Injury,White,Male,Passenger Car
101998522,14,15-Nov,.,No,Facing Traffic,O: No Injury,Unknown,Black,Male,33,30-39,.,No,O: No Injury,White,Female,Sport Utility
101998559,25,25-29,.,No,With Traffic,B: Suspected Minor Injury,Travel Lane,Hispanic,Male,59,50-59,.,No,O: No Injury,White,Male,Sport Utility
101998579,36,30-39,.,No,With Traffic,A: Suspected Serious Injury,Travel Lane,White,Male,59,50-59,.,No,O: No Injury,Native American,Male,Passenger Car
101998778,12,15-Nov,.,No,With Traffic,C: Possible Injury,Travel Lane,Black,Male,65,60-69,.,No,O: No Injury,White,Male,Van
101999273,6,06-Oct,.,No,Unknown,B: Suspected Minor Injury,Travel Lane,Hispanic,Male,66,60-69,.,No,O: No Injury,White,Male,Passenger Car
101999335,18,16-19,.,No,With Traffic,O: No Injury,Travel Lane,White,Male,18,0-19,.,No,O: No Injury,White,Female,Sport Utility
101999891,7,06-Oct,.,No,Not Applicable,B: Suspected Minor Injury,Driveway / Alley,White,Male,66,60-69,.,No,O: No Injury,Black,Male,Pickup
101999953,38,30-39,.,No,Unknown,A: Suspected Serious Injury,Non-Roadway,Black,Male,999,Unknown,.,Missing,Unknown Injury,Unknown/Missing,Unknown,Passenger Car
102000102,13,15-Nov,.,No,Facing Traffic,B: Suspected Minor Injury,Travel Lane,White,Female,69,60-69,.,No,O: No Injury,Black,Male,Passenger Car
